Infinitief	Imp. Sing.	Imp. Plur.	Participium	Hebben/Zijn	Voorbeeldzin	Example
bakken	bakte	bakten	gebakken	H	Ik bak een taart.	I bake a cake.
barsten	barstte	barstten	gebarsten	Z	De vaas barstte in duizend stukken.	The vase burst into a thousand pieces.
beginnen	begon	begonnen	begonnen	Z	We beginnen met de vergadering.	We are starting the meeting.
begrijpen	begreep	begrepen	begrepen	H	Ik begrijp wat je bedoelt.	I understand what you mean.
besluiten	besloot	besloten	besloten	H	Hij besloot om te vertrekken.	He decided to leave.
bestaan	bestond	bestonden	bestaan	H	Er bestaan veel verschillende meningen.	There are many different opinions.
bevelen	beval	bevalen	bevolen	H	De generaal beveelt zijn troepen.	The general commands his troops.
bewegen	bewoog	bewogen	bewogen	H	Hij beweegt zijn arm langzaam.	He moves his arm slowly.
bewijzen	bewees	bewezen	bewezen	H	Ze bewijzen hun onschuld.	They prove their innocence.
bezitten	bezat	bezaten	bezeten	H	Ik bezit een mooi huis.	I own a beautiful house.
bezoeken	bezocht	bezochten	bezocht	H	We bezoeken het museum morgen.	We are visiting the museum tomorrow.
bidden	bad	baden	gebeden	H	Ze bidden voor een goede afloop.	They pray for a good outcome.
bieden	bood	boden	geboden	H	Hij biedt haar een glas water aan.	He offers her a glass of water.
bijten	beet	beten	gebeten	H	De hond bijt in zijn speeltje.	The dog bites its toy.
binden	bond	bonden	gebonden	H	Ik bind het touw stevig vast.	I tie the rope tightly.
blazen	blies	bliezen	geblazen	H	De wind blaast door de bomen.	The wind blows through the trees.
blijken	bleek	bleken	gebleken	H	Het blijkt een goed idee te zijn.	It turns out to be a good idea.
blijven	bleef	bleven	gebleven	Z	Ze blijven nog even praten.	They stay and chat for a while.
blinken	blonk	blonken	geblonken	H	De spiegel blinkt na het poetsen.	The mirror shines after cleaning.
breken	brak	braken	gebroken	H	Ik breek een stuk brood af.	I break off a piece of bread.
brengen	bracht	brachten	gebracht	H	Hij brengt de kinderen naar school.	He takes the kids to school.
buigen	boog	bogen	gebogen	H	Ze buigt voor het publiek.	She bows to the audience.
denken	dacht	dachten	gedacht	H	Ik denk dat het gaat regenen.	I think it s going to rain.
doen	deed	deden	gedaan	H	Wat doe je vanavond?	What are you doing tonight?
dragen	droeg	droegen	gedragen	H	Hij draagt een zware tas.	He carries a heavy bag.
drinken	dronk	dronken	gedronken	H	We drinken koffie in de ochtend.	We drink coffee in the morning.
duiken	dook	doken	gedoken	H	Ze duikt van de hoge plank.	She dives off the high board.
dwingen	dwong	dwongen	gedwongen	H	De politie dwingt hem te stoppen.	The police force him to stop.
eten	at	aten	gegeten	H	We eten pizza vanavond.	We are eating pizza tonight.
fluiten	floot	floten	gefloten	H	Hij fluit een vrolijk deuntje.	He whistles a cheerful tune.
gaan	ging	gingen	gegaan	Z	Ik ga naar het park.	I am going to the park.
genezen	genas	genazen	genezen	H	De wond geneest langzaam.	The wound heals slowly.
genieten	genoot	genoten	genoten	H	Ze geniet van het mooie weer.	She enjoys the nice weather.
geven	gaf	gaven	gegeven	H	Hij geeft haar een cadeau.	He gives her a gift.
gieten	goot	goten	gegoten	H	Ze giet water in het glas.	She pours water into the glass.
glijden	gleed	gleden	gegleden	H/Z	De kinderen glijden van de glijbaan.	The children slide down the slide.
glimmen	glom	glommen	geglommen	H	De auto glimt in de zon.	The car gleams in the sun.
grijpen	greep	grepen	gegrepen	H	Hij grijpt de bal met   n hand.	He grabs the ball with one hand.
hangen	hing	hingen	gehangen	H	De lamp hangt aan het plafond.	The lamp hangs from the ceiling.
hebben	had	hadden	gehad	H	Ik heb een nieuw boek gekocht.	I bought a new book.
helpen	hielp	hielpen	geholpen	H	Kun je me helpen met mijn huiswerk?	Can you help me with my homework?
heten	heette	heetten	geheten	H	"Hij heet Jan, en zij heet Anna."	"His name is Jan, and her name is Anna."
houden	hield	hielden	gehouden	H	Ze houdt van chocolade.	She loves chocolate.
kiezen	koos	kozen	gekozen	H	Hij kiest het rode T-shirt.	He chooses the red T-shirt.
kijken	keek	keken	gekeken	H	Ik kijk naar de vogels in de tuin.	I watch the birds in the garden.
klimmen	klom	klommen	geklommen	H/Z	Ze klimt naar de top van de berg.	She climbs to the top of the mountain.
klinken	klonk	klonken	geklonken	H	De bel klinkt hard door het huis.	The bell sounds loudly through the house.
