Infinitief	Imp. Sing.	Imp. Plur.	Hebben/Zijn	Participium	Voorbeeldzin 1	Example 1	Voorbeeldzin 2	Example 2
bakken	bakte	bakten	H	gebakken	Ik bak een taart.	I bake a cake.	Ik heb brood gebakken.	I have baked bread.
barsten	barstte	barstten	Z	gebarsten	De vaas barstte in duizend stukken.	The vase burst into a thousand pieces.	De vaas is gebarsten.	The vase has cracked.
beginnen	begon	begonnen	Z	begonnen	We beginnen met de vergadering.	We are starting the meeting.	Hij is met de vergadering begonnen.	He has started the meeting.
begrijpen	begreep	begrepen	H	begrepen	Ik begrijp wat je bedoelt.	I understand what you mean.	Ik heb het probleem begrepen.	I have understood the problem.
besluiten	besloot	besloten	H	besloten	Hij besloot om te vertrekken.	He decided to leave.	We hebben besloten naar huis te gaan.	We have decided to go home.
bestaan	bestond	bestonden	H	bestaan	Er bestaan veel verschillende meningen.	There are many different opinions.	Het leven heeft altijd bestaan.	Life has always existed.
bevelen	beval	bevalen	H	bevolen	De generaal beveelt zijn troepen.	The general commands his troops.	De generaal heeft een bevel gegeven.	The general has given an order.
bewegen	bewoog	bewogen	H	bewogen	Hij beweegt zijn arm langzaam.	He moves his arm slowly.	Ze heeft zich veel bewogen vandaag.	She has moved a lot today.
bewijzen	bewees	bewezen	H	bewezen	Ze bewijzen hun onschuld.	They prove their innocence.	Hij heeft zijn onschuld bewezen.	He has proven his innocence.
bezitten	bezat	bezaten	H	bezeten	Ik bezit een mooi huis.	I own a beautiful house.	Hij heeft dat huis altijd bezeten.	He has always owned that house.
bezoeken	bezocht	bezochten	H	bezocht	We bezoeken het museum morgen.	We are visiting the museum tomorrow.	We hebben een museum bezocht.	We have visited a museum.
bidden	bad	baden	H	gebeden	Ze bidden voor een goede afloop.	They pray for a good outcome.	Hij heeft tot God gebeden.	He has prayed to God.
bieden	bood	boden	H	geboden	Hij biedt haar een glas water aan.	He offers her a glass of water.	Ze hebben ons hulp geboden.	They have offered us help.
bijten	beet	beten	H	gebeten	De hond bijt in zijn speeltje.	The dog bites its toy.	De hond heeft me in mijn hand gebeten.	The dog has bitten me in my hand.
binden	bond	bonden	H	gebonden	Ik bind het touw stevig vast.	I tie the rope tightly.	Hij heeft het pakket met een touw gebonden.	He has tied the package with a rope.
blazen	blies	bliezen	H	geblazen	De wind blaast door de bomen.	The wind blows through the trees.	Ze heeft de kaars uitgeblazen.	She has blown out the candle.
blijken	bleek	bleken	H	gebleken	Het blijkt een goed idee te zijn.	It turns out to be a good idea.	Het is gebleken dat hij gelijk had.	It has turned out that he was right.
blijven	bleef	bleven	Z	gebleven	Ze blijven nog even praten.	They stay and chat for a while.	Hij is de hele avond gebleven.	He has stayed the whole evening.
blinken	blonk	blonken	H	geblonken	De spiegel blinkt na het poetsen.	The mirror shines after cleaning.	De spiegel heeft geblonken in het zonlicht.	The mirror has shone in the sunlight.
breken	brak	braken	H	gebroken	Ik breek een stuk brood af.	I break off a piece of bread.	Ze heeft haar arm gebroken.	She has broken her arm.
brengen	bracht	brachten	H	gebracht	Hij brengt de kinderen naar school.	He takes the kids to school.	Hij heeft het boek naar me gebracht.	He has brought the book to me.
buigen	boog	bogen	H	gebogen	Ze buigt voor het publiek.	She bows to the audience.	Ze heeft diep gebogen voor de koning.	She has bowed deeply to the king.
denken	dacht	dachten	H	gedacht	Ik denk dat het gaat regenen.	I think it s going to rain.	Ik heb daar lang over nagedacht.	I have thought about it for a long time.
doen	deed	deden	H	gedaan	Wat doe je vanavond?	What are you doing tonight?	Hij heeft het goed gedaan.	He has done it well.
dragen	droeg	droegen	H	gedragen	Hij draagt een zware tas.	He carries a heavy bag.	Ze heeft de zware tas gedragen.	She has carried the heavy bag.
drinken	dronk	dronken	H	gedronken	We drinken koffie in de ochtend.	We drink coffee in the morning.	Hij heeft een glas wijn gedronken.	He has drunk a glass of wine.
duiken	dook	doken	H	gedoken	Ze duikt van de hoge plank.	She dives off the high board.	We zijn in het meer gedoken.	We have dived into the lake.
dwingen	dwong	dwongen	H	gedwongen	De politie dwingt hem te stoppen.	The police force him to stop.	Hij heeft me gedwongen om te luisteren.	He has forced me to listen.
eten	at	aten	H	gegeten	We eten pizza vanavond.	We are eating pizza tonight.	We hebben samen pizza gegeten.	We have eaten pizza together.
fluiten	floot	floten	H	gefloten	Hij fluit een vrolijk deuntje.	He whistles a cheerful tune.	Hij heeft op zijn vingers gefloten.	He has whistled on his fingers.
gaan	ging	gingen	Z	gegaan	Ik ga naar het park.	I am going to the park.	We zijn naar Amsterdam gegaan.	We have gone to Amsterdam.
genezen	genas	genazen	H	genezen	De wond geneest langzaam.	The wound heals slowly.	Ze is volledig genezen.	She has fully recovered.
