Verbum/uitdrukking	Prepositie	Volledig	Traduzione	Voorbeeldzinnen	Esempio
(geld) uitgeven	aan	(geld) uitgeven aan	Spendere (denaro) per		
(on)gerust zijn	over	(on)gerust zijn over	Essere (non) tranquillo per		
afhangen	van	afhangen van	Dipendere da		
afhankelijk zijn	van	afhankelijk zijn van	Essere dipendente da		
afleiden	uit	afleiden uit	Dedurre da	Uit zijn antwoorden kun je afleiden dat hij het niet zeker weet.	Dalle sue risposte puoi dedurre che non ne e' sicuro.
afspreken ... iemand	met	afspreken met iemand	Incontrarsi con qualcuno		
akkoord gaan	met	akkoord gaan met	Essere d'accordo con		
als gevolg	van	als gevolg van	Come conseguenza di		
antwoorden	op	antwoorden op	Rispondere a		
bang zijn	"van, voor"	"bang zijn van, voor"	Avere paura di		
baseren	op	baseren op	Basarsi su		
beantwoorden	aan	beantwoorden aan	Rispondere a		
bedanken	voor	bedanken voor	Ringraziare per		
bedoelen	met	bedoelen met	Intendere con		
beginnen	"met, aan"	beginnen met; beginnen aan	Iniziare con; iniziare a		
behoefte hebben	aan	behoefte hebben aan	Avere bisogno di		
behoren	tot	behoren tot	Appartenere a		
belang hebben	aan	belang hebben aan	Avere interesse per		
belangstelling hebben	voor	belangstelling hebben voor	Avere interesse per		
beschermen	tegen	beschermen tegen	Proteggere contro		
beschikken	over	beschikken over	Disporre di		
bestaan	uit	bestaan uit	Consistere in		
bestemd zijn	voor	bestemd zijn voor	Essere destinato a		
bewust zijn	van	bewust zijn van	Essere consapevole di		
bezig zijn	met	bezig zijn met	Essere occupato con		
bezorgd zijn	"over, om"	"bezorgd zijn over, om"	Essere preoccupato per		
bidden	tot	bidden tot	Pregare verso		
bijdragen	aan	bijdragen aan	Contribuire a		
blij zijn	met	blij zijn met	Essere felice con		
boos/kwaad zijn	op	boos/kwaad zijn op	Essere arrabbiato con		
commentaar geven	op	commentaar geven op	Commentare su		
communiceren	met	communiceren met	Comunicare con		
contact hebben	met	contact hebben met	Avere contatto con		
dacht schenken/geven	aan	aandacht schenken/geven aan	Dare attenzione a		
deelnemen	aan	deelnemen aan	Partecipare a		
delen	door	delen door	Dividere per		
denken	aan	denken aan	Pensare a		
dienen	voor	dienen voor	Servire per		
dol zijn	op	dol zijn op	Adorare		
door middel	van	door middel van	Per mezzo di		
een hekel hebben	aan	een hekel hebben aan	Avere avversione per		
eindigen	"met, om"	"eindigen met, om"	"Finire con, finire per"		
ervaring hebben	met	ervaring hebben met	Avere esperienza con		
feliciteren	met	feliciteren met	Congratularsi con		
gaan ... iets	over	gaan over	Trattare di		
geïnteresseerd zijn	in	geïnteresseerd zijn in	Essere interessato a		
gek zijn	op	gek zijn op	Essere pazzo di		
geloven	in	geloven in	Credere in		
gelukkig zijn	met	gelukkig zijn met	Essere felice con		
genieten	van	genieten van	Godere di		
geschikt zijn	voor	geschikt zijn voor	Essere adatto a		
geven	aan	geven aan	Dare a		
goed zijn	in	goed zijn in	Essere bravo in		
