woord	woord, artikel (extra info)	Voorbeeldzin
babbelen	babbelen (babbelde, h. gebabbeld)	In de pauze is het gezellig om met de andere studenten te babbelen.
beantwoorden	beantwoorden (beantwoordde, h. beantwoord)	Wij hebben uw e-mail nog niet beantwoord, omdat we het antwoord op uw vraag nog niet gevonden hebben.
bedoeling	bedoeling, de [-en]	De bedoeling van dit spel is niet dat je wint, maar dat je plezier maakt.
beloven	beloven (beloofde, h. beloofd)	Je hebt beloofd dat je de auto gaat wassen. Dan moet je dat ook doen!
bespreken	bespreken (besprak, h. besproken)	Ik kan dat niet alleen beslissen. Je moet dat met de directeur bespreken.
excuus	excuus, het [excuses]	Zij is altijd te laat in de les. En elke dag heeft ze een ander excuus. Vandaag zei ze dat haar hond weggelopen was.
groeten	groeten (groette, h. gegroet)	Onze buurman groet ons altijd heel vriendelijk als hij ons ziet.
kritiek	kritiek, de	Mina is niet snel tevreden over haar werknemers. Ze geeft vaak kritiek op hun werk.
moedertaal	moedertaal, de [-talen]	Sharon spreekt vlot Nederlands, maar haar moedertaal is Frans.
opmerking	opmerking, de [-en]	Als er geen opmerkingen zijn, dan kunnen we de vergadering beëindigen.
overtuigen (van)	overtuigen (van) (overtuigde, h. overtuigd)	Hij probeerde zijn vriendin te overtuigen om mee te gaan wandelen, ondanks het koude weer.
toegeven	toegeven (gaf toe, h. toegegeven)	Chantal gaf toe dat ze een fout gemaakt had. Het is beter het te zeggen dan vol te houden dat alles oké is.
toelaten	toelaten (liet toe, h. toegelaten)	Het is niet toegelaten in de les te roken. De lesgever kan niet toelaten dat we hier roken.
uitnodigen	uitnodigen (nodigde uit, h. uitgenodigd)	Volgende week nodig ik mijn ouders voor een etentje uit.
verlangen naar	verlangen naar (verlangde naar, h. verlangd naar)	De cursus is bijna gedaan. Ik verlang naar de vakantie! - Toen het de hele tijd regende, verlangde ik naar de zon!
vertalen (in/naar)	vertalen (in/naar) (vertaalde, h. vertaald)	Haar beroep is vertaler. Ze vertaalt Russische romans naar het Nederlands.
voorstellen	voorstellen (stelde voor, h. voorgesteld)	Ik stel voor dat we straks even in het park wandelen. Vind je dat een goed idee? - Ik wil je voorstellen aan onze nieuwe collega.
waarschuwen	waarschuwen (waarschuwde, h. gewaarschuwd)	Ik heb je gewaarschuwd dat je op die bergwandeling goed moest opletten, maar je hebt niet geluisterd en zo ben je gevallen.
welkom	welkom	Je bent hier altijd welkom!
zich excuseren	zich excuseren (excuseerde zich, h. zich geëxcuseerd)	Je hebt een fout gemaakt. Ik wil dat je je excuseert. Het is toch niet zo moeilijk om 'sorry' te zeggen?
