Woord	"Woord, artikel (extra info)"	Voorbeeldzin	Traduzione
(zich) voorstellen	"(zich) voorstellen (stelde (zich) voor, h. (zich) voorgesteld)"	De nieuwe directeur kwam binnen en stelde zich voor: nu weten we hoe hij heet en wat zijn plannen zijn.	Il nuovo direttore è entrato e si è presentato: ora sappiamo il suo nome e quali sono i suoi progetti.
aandacht	"aandacht, de"	"Als de lesgever iets uitlegt, luisteren alle cursisten met veel aandacht, want ze willen alles begrijpen."	"Quando l'insegnante spiega qualcosa, tutti gli studenti ascoltano attentamente perché vogliono capire tutto."
aanvaarden = accepteren	"aanvaarden = accepteren (aanvaardde, h. aanvaard) Als iedereen akkoord gaat, kunnen we dit voorstel aanvaarden (/ accepteren)."		
accepteren	"accepteren (accepteerde, h. geaccepteerd) = aanvaarden"	We moeten leren accepteren dat niet iedereen dezelfde mening heeft.	Dobbiamo imparare ad accettare che non tutti hanno la stessa opinione.
afhankelijk (van)	afhankelijk (van)	Mijn oma is afhankelijk van de hulp van andere mensen. Ze kan niet veel alleen doen.	Mia nonna dipende dall'aiuto di altre persone. Da sola non riesce a fare molto.
amuseren	"amuseren = plezier geven (amuseerde, h. geamuseerd)"	Opa en oma amuseerden hun kleinkinderen met leuke verhalen over vroeger.	Il nonno e la nonna intrattenevano i nipoti con divertenti storie del passato.
bedoeling	"bedoeling, de [-en]"	"De bedoeling van dit spel is niet dat je wint, maar dat je plezier maakt."	"Lo scopo di questo gioco non è vincere, ma divertirsi."
begrijpelijk	begrijpelijk	Aurelie is vegetariër. Het is dus begrijpelijk dat ze geen zin heeft om mee te gaan naar het steakrestaurant.	Aurelie è vegetariana. Quindi è comprensibile che non abbia voglia di andare al ristorante che serve bistecche.
beschouwen als	"beschouwen als (beschouwde als, h. beschouwd als)"	Hij beschouwt zijn huisdieren als zijn kinderen. Dat vind ik toch een beetje overdreven.	Considera i suoi animali domestici come figli. Penso che sia un po' esagerato.
beslissing	"beslissing, de [-en]"	De ministers hebben veel gediscussieerd en na 3 uur hebben ze de beslissing genomen om de belastingen te verhogen.	I ministri hanno discusso a lungo e dopo 3 ore hanno deciso di aumentare le tasse.
besluit	"besluit, het [-en]"	Alexander blijft bij zijn besluit. Hij gaat zijn plannen niet meer veranderen. Hij verhuist volgende zomer naar Peru.	Alexander rimane fedele alla sua decisione. Non cambierà più i suoi piani. Si trasferirà in Perù la prossima estate.
besluiten	"besluiten (besloot, h. besloten)"	We hebben goed geluisterd naar alle argumenten en we hebben besloten dat we de bibliotheek ook 's avonds gaan openen.	Abbiamo ascoltato attentamente tutte le argomentazioni e abbiamo deciso che apriremo la biblioteca anche la sera.
betekenis	"betekenis, de [-sen]"	Wat is de betekenis van dit woord? Ik weet niet wat dit woord betekent.	Qual è il significato di questa parola? Non so cosa significhi questa parola.
bewijs	"bewijs, het [-wijzen]"	"Als de politie geen bewijzen kan vinden dat hij de dader is, kunnen ze hem niet arresteren."	"Se la polizia non riesce a trovare prove che lui sia l'autore del reato, non può arrestarlo."
